Date,TGMV
2022-10-20,46279789.22
2022-10-21,40353140.84
2022-10-22,35857210.68
2022-10-23,40750391.75
2022-10-24,48018764.05
2022-10-25,48471740.91
2022-10-26,46306705.61
2022-10-27,43170269.34
2022-10-28,37981091.1
2022-10-29,33382384.24
2022-10-30,34925924.53
2022-10-31,38930149.65
2022-11-01,40911108.29
2022-11-02,42837986.25
2022-11-03,45389038.79
2022-11-04,43534875.15
2022-11-05,39752289.7
2022-11-06,43808525.3
2022-11-07,49866112.21
2022-11-08,49575104.5
2022-11-09,47671420.93
2022-11-10,46150613.16
2022-11-11,43370444.04
2022-11-12,41934639.78
2022-11-13,45199068.75
2022-11-14,60712688.05
2022-11-15,64611384.93
2022-11-16,66453379.77
2022-11-17,71047742.39
2022-11-18,111354688.1
2022-11-19,102030659.9
2022-11-20,109053875.5
2022-11-21,128708227.8
2022-11-22,68175792.57
2022-11-23,50033291.74
2022-11-24,51740911.21
2022-11-25,54689234.89
2022-11-26,47654338.42
2022-11-27,49910903.57
2022-11-28,62223617.85
2022-11-29,60464582.16
2022-11-30,57762537.16
2022-12-01,60576452.96
2022-12-02,64516269.67
2022-12-03,59563405.11
2022-12-04,64599435.85
2022-12-05,75985703.96
2022-12-06,77826978.81
2022-12-07,76804108.28
2022-12-08,76320858.85
2022-12-09,71289527.24
2022-12-10,70947688.08
2022-12-11,79101347.35
2022-12-12,96481606.25
2022-12-13,98471357.39
2022-12-14,103286626.1
2022-12-15,107707960.0
2022-12-16,103946645.5
2022-12-17,98318058.32
2022-12-18,101501151.1
2022-12-19,123578088.7
2022-12-20,108263897.9
2022-12-21,88922172.87
2022-12-22,70027314.08
2022-12-23,55507178.95
2022-12-24,42526657.73
2022-12-25,41445143.82
2022-12-26,67132366.77
2022-12-27,69056614.57
2022-12-28,62757398.37
2022-12-29,56118546.47
2022-12-30,47335906.58
2022-12-31,36288155.33
2023-01-01,31976086.92
2023-01-02,59064116.08
2023-01-03,62123844.21
2023-01-04,61421134.26
2023-01-05,51528281.86
2023-01-06,50848092.86
2023-01-07,45289046.13
2023-01-08,47552596.0
2023-01-09,53101206.24
2023-01-10,54056186.1
2023-01-11,54020745.26
2023-01-12,51740791.48
2023-01-13,51634564.82
2023-01-14,47479803.18
2023-01-15,51037846.96
2023-01-16,56543206.71
2023-01-17,54875788.96
2023-01-18,53116539.86
2023-01-19,50693247.75
2023-01-20,45515256.21
2023-01-21,41368476.75
2023-01-22,43467066.25
2023-01-23,50933436.21
2023-01-24,51524151.62
2023-01-25,51887384.46
2023-01-26,47648538.42
2023-01-27,46478012.62
2023-01-28,43078080.26
2023-01-29,45277246.46
2023-01-30,52382581.16
2023-01-31,55268604.99
2023-02-01,56535171.43
2023-02-02,53534870.11
2023-02-03,50152416.47
2023-02-04,44102221.57
2023-02-05,44865549.5
2023-02-06,56303571.79
2023-02-07,56577863.19
2023-02-08,56778485.22
2023-02-09,57245445.63
2023-02-10,55456635.29
2023-02-11,52138119.23
2023-02-12,53430186.02
2023-02-13,58601715.64
2023-02-14,48877142.08
2023-02-15,52588824.64
2023-02-16,51059897.9
2023-02-17,46173042.68
2023-02-18,43931756.07
2023-02-19,45006793.76
2023-02-20,52094851.19
2023-02-21,50272237.51
2023-02-22,46821932.23
2023-02-23,45542871.36
2023-02-24,42061337.72
2023-02-25,39222155.4
2023-02-26,40830169.26
2023-02-27,47394213.03
2023-02-28,48282152.96
2023-03-01,53308517.37
2023-03-02,51948213.53
2023-03-03,45434648.02
2023-03-04,41437741.73
2023-03-05,44873299.38
2023-03-06,52544009.03
2023-03-07,50598814.23
2023-03-08,48842131.37
2023-03-09,48730195.03
2023-03-10,44036243.61
2023-03-11,40343028.85
2023-03-12,42315006.47
2023-03-13,50461490.11
2023-03-14,51154489.18
2023-03-15,55494531.46
2023-03-16,52066543.12
2023-03-17,47195174.09
2023-03-18,40954682.34
2023-03-19,42108837.07
2023-03-20,46821808.22
2023-03-21,47178860.78
2023-03-22,46971705.29
2023-03-23,47622672.86
2023-03-24,41355207.87
2023-03-25,37643095.12
2023-03-26,40998794.37
2023-03-27,48528495.17
2023-03-28,48347945.78
2023-03-29,47210526.66
2023-03-30,45702604.01
2023-03-31,42485150.8
2023-04-01,41610220.79
2023-04-02,42853755.86
2023-04-03,47932442.73
2023-04-04,45223241.58
2023-04-05,43342981.04
2023-04-06,40468374.23
2023-04-07,36905914.08
2023-04-08,34393912.67
2023-04-09,35529506.64
2023-04-10,43031199.21
2023-04-11,45593384.96
2023-04-12,46665826.63
2023-04-13,44918283.65
2023-04-14,46993749.21
2023-04-15,44903341.79
2023-04-16,45574652.82
2023-04-17,51481043.62
2023-04-18,52096206.73
2023-04-19,51574772.28
2023-04-20,49745264.82
2023-04-21,45690335.19
2023-04-22,42511244.95
2023-04-23,44670328.35
2023-04-24,52182964.54
2023-04-25,50215184.19
2023-04-26,50216124.41
2023-04-27,46277870.95
2023-04-28,45987875.04
2023-04-29,40770778.22
2023-04-30,40413580.33
2023-05-01,51128307.4
2023-05-02,54737205.4
2023-05-03,55608495.73
2023-05-04,55963961.27
2023-05-05,55735385.39
2023-05-06,53286188.41
2023-05-07,56831989.16
2023-05-08,69937599.01
2023-05-09,65088209.11
2023-05-10,52233551.38
2023-05-11,50509887.36
2023-05-12,49356479.56
2023-05-13,44909388.83
2023-05-14,46059237.78
2023-05-15,54355084.2
2023-05-16,57782357.35
2023-05-17,56873915.13
2023-05-18,51311399.26
2023-05-19,47783404.07
2023-05-20,47092000.24
2023-05-21,46035620.02
2023-05-22,55814437.87
2023-05-23,61837009.07
2023-05-24,57580559.28
2023-05-25,52258756.17
2023-05-26,51670552.03
2023-05-27,45144717.46
2023-05-28,45198012.83
2023-05-29,88723867.33
2023-05-30,91731482.76
2023-05-31,87406161.21
2023-06-01,89054185.09
2023-06-02,78762567.05
2023-06-03,66653782.14
2023-06-04,65862600.32
2023-06-05,72419090.1
