Date,TGMV,plan
2022-12-08,76320858.85,76320858.85
2022-12-09,71289527.24,71289527.24
2022-12-10,70947688.08,70947688.08
2022-12-11,79101347.35,79101347.35
2022-12-12,96481606.25,96481606.25
2022-12-13,98471357.39,98471357.39
2022-12-14,103286626.06,103286626.06
2022-12-15,107707960.0,107707960.0
2022-12-16,103946645.48,103946645.48
2022-12-17,98318058.32,98318058.32
2022-12-18,101501151.12,101501151.12
2022-12-19,123578088.7,123578088.7
2022-12-20,108263897.85,108263897.85
2022-12-21,88922172.87,88922172.87
2022-12-22,70027314.08,70027314.08
2022-12-23,55507178.95,55507178.95
2022-12-24,42526657.73,42526657.73
2022-12-25,41445143.82,41445143.82
2022-12-26,67132366.77,67132366.77
2022-12-27,69056614.57,69056614.57
2022-12-28,62757398.37,62757398.37
2022-12-29,56118546.47,56118546.47
2022-12-30,47335906.58,47335906.58
2022-12-31,36288155.33,36288155.33
2023-01-01,31976086.92,31976086.92
2023-01-02,59064116.08,59064116.08
2023-01-03,62123844.21,62123844.21
2023-01-04,61421134.26,61421134.26
2023-01-05,51528281.86,51528281.86
2023-01-06,50848092.86,50848092.86
2023-01-07,45289046.13,45289046.13
2023-01-08,47552596.0,47552596.0
2023-01-09,53101206.24,53101206.24
2023-01-10,54056186.1,54056186.1
2023-01-11,54020745.26,54020745.26
2023-01-12,51740791.48,51740791.48
2023-01-13,51634564.82,51634564.82
2023-01-14,47479803.18,47479803.18
2023-01-15,51037846.96,51037846.96
2023-01-16,56543206.71,56543206.71
2023-01-17,54875788.96,54875788.96
2023-01-18,53116539.86,53116539.86
2023-01-19,50693247.75,50693247.75
2023-01-20,45515256.21,45515256.21
2023-01-21,41368476.75,41368476.75
2023-01-22,43467066.25,43467066.25
2023-01-23,50933436.21,50933436.21
2023-01-24,51524151.62,51524151.62
2023-01-25,51887384.46,51887384.46
2023-01-26,47648538.42,47648538.42
2023-01-27,46478012.62,46478012.62
2023-01-28,43078080.26,43078080.26
2023-01-29,45277246.46,45277246.46
2023-01-30,52382581.16,52382581.16
2023-01-31,55268604.99,55268604.99
2023-02-01,56535171.43,56535171.43
2023-02-02,53534870.11,53534870.11
2023-02-03,50152416.47,50152416.47
2023-02-04,44102221.57,44102221.57
2023-02-05,44865549.5,44865549.5
2023-02-06,56303571.79,56303571.79
2023-02-07,56577863.19,56577863.19
2023-02-08,56778485.22,56778485.22
2023-02-09,57245445.63,57245445.63
2023-02-10,55456635.29,55456635.29
2023-02-11,52138119.23,52138119.23
2023-02-12,53430186.02,53430186.02
2023-02-13,58601715.64,58601715.64
2023-02-14,48877142.08,48877142.08
2023-02-15,52588824.64,52588824.64
2023-02-16,51059897.9,51059897.9
2023-02-17,46173042.68,46173042.68
2023-02-18,43931756.07,43931756.07
2023-02-19,45006793.76,45006793.76
2023-02-20,52094851.19,52094851.19
2023-02-21,50272237.51,50272237.51
2023-02-22,46821932.23,46821932.23
2023-02-23,45542871.36,45542871.36
2023-02-24,42061337.72,42061337.72
2023-02-25,39222155.4,39222155.4
2023-02-26,40830169.26,40830169.26
2023-02-27,47394213.03,47394213.03
2023-02-28,48282152.96,48282152.96
2023-03-01,53308517.37,53308517.37
2023-03-02,51948213.53,51948213.53
2023-03-03,45434648.02,45434648.02
2023-03-04,41437741.73,41437741.73
2023-03-05,44873299.38,44873299.38
2023-03-06,52544009.03,52544009.03
2023-03-07,50598814.23,50598814.23
2023-03-08,48842131.37,48842131.37
2023-03-09,48730195.03,48730195.03
2023-03-10,44036243.61,44036243.61
2023-03-11,40343028.85,40343028.85
2023-03-12,42315006.47,42315006.47
2023-03-13,50461490.11,50461490.11
2023-03-14,51154489.18,51154489.18
2023-03-15,55494531.46,55494531.46
2023-03-16,52066543.12,52066543.12
2023-03-17,47195174.09,47195174.09
2023-03-18,40954682.34,40954682.34
2023-03-19,42108837.07,42108837.07
2023-03-20,46821808.22,46821808.22
2023-03-21,47178860.78,47178860.78
2023-03-22,46971705.29,46971705.29
2023-03-23,47622672.86,47622672.86
2023-03-24,41355207.87,41355207.87
2023-03-25,37643095.12,37643095.12
2023-03-26,40998794.37,40998794.37
2023-03-27,48528495.17,48528495.17
2023-03-28,48347945.78,48347945.78
2023-03-29,47210526.66,47210526.66
2023-03-30,45702604.01,45702604.01
2023-03-31,42485150.8,42485150.8
2023-04-01,41610220.79,41610220.79
2023-04-02,42853755.86,42853755.86
2023-04-03,47932442.73,47932442.73
2023-04-04,45223241.58,45223241.58
2023-04-05,43342981.04,43342981.04
2023-04-06,40468374.23,40468374.23
2023-04-07,36905914.08,36905914.08
2023-04-08,34393912.67,34393912.67
2023-04-09,35529506.64,35529506.64
2023-04-10,43031199.21,43031199.21
2023-04-11,45593384.96,45593384.96
2023-04-12,46665826.63,46665826.63
2023-04-13,44918283.65,44918283.65
2023-04-14,46993749.21,46993749.21
2023-04-15,44903341.79,44903341.79
2023-04-16,45574652.82,45574652.82
2023-04-17,51481043.62,51481043.62
2023-04-18,52096206.73,52096206.73
2023-04-19,51574772.28,51574772.28
2023-04-20,49745264.82,49745264.82
2023-04-21,45690335.19,45690335.19
2023-04-22,42511244.95,42511244.95
2023-04-23,44670328.35,44670328.35
2023-04-24,52182964.54,52182964.54
2023-04-25,50215184.19,50215184.19
2023-04-26,50216124.41,50216124.41
2023-04-27,46277870.95,46277870.95
2023-04-28,45987875.04,45987875.04
2023-04-29,40770778.22,40770778.22
2023-04-30,40413580.33,40413580.33
2023-05-01,51128307.4,51128307.4
2023-05-02,54737205.4,54737205.4
2023-05-03,55608495.73,55608495.73
2023-05-04,55963961.27,55963961.27
2023-05-05,55735385.39,55735385.39
2023-05-06,53286188.41,53286188.41
2023-05-07,56831989.16,56831989.16
2023-05-08,69937599.01,69937599.01
2023-05-09,65088209.11,65088209.11
2023-05-10,52233551.38,52233551.38
2023-05-11,50509887.36,50509887.36
2023-05-12,49356479.56,49356479.56
2023-05-13,44909388.83,44909388.83
2023-05-14,46059237.78,46059237.78
2023-05-15,54355084.2,54355084.2
2023-05-16,57782357.35,57782357.35
2023-05-17,56873915.13,56873915.13
2023-05-18,51311399.26,51311399.26
