Date,TGMV
22/03/2023,46971705.29
23/03/2023,47622672.86
24/03/2023,41355207.87
25/03/2023,37643095.12
26/03/2023,40998794.37
27/03/2023,48528495.17
28/03/2023,48347945.78
29/03/2023,47210526.66
30/03/2023,45702604.01
31/03/2023,42485150.80
01/04/2023,41610220.79
02/04/2023,42853755.86
03/04/2023,47932442.73
04/04/2023,45223241.58
05/04/2023,43342981.04
06/04/2023,40468374.23
07/04/2023,36905914.08
08/04/2023,34393912.67
09/04/2023,35529506.64
10/04/2023,43031199.21
11/04/2023,45593384.96
12/04/2023,46665826.63
13/04/2023,44918283.65
14/04/2023,46993749.21
15/04/2023,44903341.79
16/04/2023,45574652.82
17/04/2023,51481043.62
18/04/2023,52096206.73
19/04/2023,51574772.28
20/04/2023,49745264.82
21/04/2023,45690335.19
22/04/2023,42511244.95
23/04/2023,44670328.35
24/04/2023,52182964.54
25/04/2023,50215184.19
26/04/2023,50216124.41
27/04/2023,46277870.95
28/04/2023,45987875.04
29/04/2023,40770778.22
30/04/2023,40413580.33
01/05/2023,51128307.40
02/05/2023,54737205.40
03/05/2023,55608495.73
04/05/2023,55963961.27
05/05/2023,55735385.39
06/05/2023,53286188.41
07/05/2023,56831989.16
08/05/2023,69937599.01
09/05/2023,65088209.11
10/05/2023,52233551.38
11/05/2023,50509887.36
12/05/2023,49356479.56
13/05/2023,44909388.83
14/05/2023,46059237.78
15/05/2023,54355084.20
16/05/2023,57782357.35
17/05/2023,56873915.13
18/05/2023,51311399.26
19/05/2023,47783404.07
20/05/2023,47092000.24
21/05/2023,46035620.02
22/05/2023,55814437.87
23/05/2023,61837009.07
24/05/2023,57580559.28
25/05/2023,52258756.17
26/05/2023,51670552.03
27/05/2023,45144717.46
28/05/2023,45198012.83
29/05/2023,88723867.33
30/05/2023,91731482.76
31/05/2023,87406161.21
01/06/2023,89054185.09
02/06/2023,78762567.05
03/06/2023,66653782.14
04/06/2023,65862600.32
05/06/2023,72419090.10
06/06/2023,89437146.29
07/06/2023,73103004.37
08/06/2023,55190380.80
09/06/2023,49246152.37
10/06/2023,44990495.88
11/06/2023,49150246.38
12/06/2023,58753202.73
13/06/2023,62138497.28
14/06/2023,64464681.05
15/06/2023,65647665.95
16/06/2023,60702835.44
17/06/2023,49213722.43
18/06/2023,44736116.74
19/06/2023,48780910.68
20/06/2023,49412569.67
21/06/2023,49239164.09
22/06/2023,47817295.14
23/06/2023,42826148.93
24/06/2023,38181084.14
25/06/2023,40281219.37
26/06/2023,48772956.66
27/06/2023,49738836.00
28/06/2023,49386964.68
29/06/2023,48898977.76
30/06/2023,47634512.87
01/07/2023,46184263.50
02/07/2023,48864383.38
03/07/2023,57691291.40
04/07/2023,58416421.73
05/07/2023,59111780.42
06/07/2023,58047173.64
07/07/2023,53384735.22
08/07/2023,47712716.36
09/07/2023,51398548.94
10/07/2023,61270214.92
11/07/2023,62885460.99
12/07/2023,62906846.32
13/07/2023,60843206.15
14/07/2023,59412947.91
15/07/2023,56682718.32
16/07/2023,58637743.63
17/07/2023,60560499.76
18/07/2023,58458884.69
19/07/2023,57313362.31
20/07/2023,53139897.98
21/07/2023,50343196.69
22/07/2023,44984458.80
23/07/2023,48844782.25
24/07/2023,56196035.13
25/07/2023,56045939.40
26/07/2023,53903483.31
27/07/2023,54076992.00
28/07/2023,52506557.73
29/07/2023,46025864.04
30/07/2023,48879685.37
31/07/2023,58546551.03
01/08/2023,62264413.66
02/08/2023,62027189.57
03/08/2023,58014682.61
04/08/2023,53308370.64
05/08/2023,47590961.41
06/08/2023,53337061.36
07/08/2023,62483652.04
08/08/2023,60141288.85
09/08/2023,56906407.85
